"movie_id","movie_title","movie_score","movie_pubdate","movie_type","movie_actors","movie_director"
"4017146","月光光心慌慌 Halloween","6","2018-09-08(多伦多电影节) 2018-10-19(美国)","惊悚 恐怖","杰米·李·柯蒂斯 朱迪·格雷尔 安迪·马蒂切克 詹姆斯·裘德·柯特尼 尼克·卡斯特尔 哈鲁克·比尔根纳尔 威尔·帕顿 里安·里斯 杰佛逊·豪尔 托比·胡斯 维吉尼亚·加德纳 迪伦·阿诺德 迈尔斯·罗宾斯 德鲁·谢伊德 吉布瑞尔·南谭布 迈克尔·哈瑞蒂 马修·安德森 奥马尔·J·多尔西 克里斯托弗· 艾伦·尼尔森 P·J·索尔丝 桑迪·约翰逊 乔恩·埃里克·海克瑟姆 梅诺·佩卢斯 杰瑞德·莫泽 罗布·尼特","大卫·戈登·格林"
"4058933","一个明星的诞生 A Star Is Born","7","2018-08-31(威尼斯电影节) 2018-10-05(美国)","剧情 爱情 音乐","Lady Gaga 布莱德利·库珀 山姆·艾里奥特 安德鲁·戴斯·克雷 拉菲·格拉沃恩 安东尼·拉莫斯 大卫·查普尔 亚历克·鲍德温 马龙·威廉姆斯 布兰迪·卡莉 朗·瑞弗金 巴里·沙巴卡·亨利 迈克尔·D·罗伯茨 迈克尔·哈尔尼 丽贝卡·菲尔德 威廉·贝利 格雷戈·格伦伯格 D·J·尚格拉·皮尔斯 德瑞娜·德尼罗 艾迪·格里芬 哈尔希 马修·利巴提克 路奈尔·坎贝尔 唐·渥斯 伦尼·卡斯特罗 唐·罗伊·金 格雷戈里·斯卡尔尼奇 弗兰克·安妮罗 杰尔马诺·布兰科 梅根·豪恩 马克·查普曼 史蒂文·西塞罗 阿曼达·菲尔茨 阿尔弗雷德·加比杜林 弗雷德里克·基夫","布莱德利·库珀"
"4221462","掠食城市 Mortal Engines","6","2019-01-18(中国大陆) 2018-12-14(美国)","动作 科幻 冒险","海拉·西尔玛 雨果·维文 金吉 罗伯特·席安 莱拉·乔治 史蒂芬·朗 弗兰基·亚当斯 凯伦·皮斯托里斯 科林·萨蒙 安德鲁斯·李斯 莎拉·慕恩 罗南·拉夫特瑞 乔尔·托贝克 帕特里克·麦拉海德 史蒂芬·乌瑞 马尼克·古纳拉塔尼 菲利普·里夫 纳撒尼尔·利斯 雷吉-让·佩吉 卡卢姆·吉廷斯 安佑森 马克·哈德洛 马克米钦森 索菲·考克斯 莎拉·皮尔斯 奇·陈 约瑟夫·米卡-亨特 特里·诺瑞斯 安龙·杰克森 梅根·爱德华兹 尼克·布雷克 玛丽亚·沃克 阿曼·韦弗 玛德琳·亚当斯 马丁·郭 罗德尼·库克","克里斯蒂安·瑞沃斯"
"4840388","新喜剧之王","6","2019-02-05(中国大陆)","剧情 喜剧","王宝强 鄂靖文 张全蛋 景如洋 张琪 袁兴哲 田启文 黄骁鹏 蔡哲睿 苗溢伦","周星驰"
"4864908","影","7","2018-09-30(中国大陆) 2018-09-06(威尼斯电影节)","剧情 动作 武侠 古装","邓超 孙俪 郑恺 王千源 王景春 胡军 关晓彤 吴磊 封柏","张艺谋"
"5300054","波西米亚狂想曲 Bohemian Rhapsody","9","2019-03-22(中国大陆) 2018-11-02(美国)","剧情 音乐 传记","拉米·马雷克 本·哈迪 约瑟夫·梅泽罗 格威利姆·李 艾伦·里奇 露西·宝通 艾丹·吉伦 汤姆·霍兰德 麦克·梅尔斯 阿隆·麦克卡斯克 梅内卡·达斯 迪基·博 蒂姆· 普莱斯特 杰克·罗思 马克斯·班内特 基兰·哈德卡斯托 罗斯·格林 布鲁斯·麦克金伦 米歇尔·邓肯 马特·格林伍德 罗茜·本杰明 约翰·奥特曼 詹姆斯·华莱士 文森特·阿德里安 拉斯科·阿特金斯 乔纳森·奇塔姆 迈克尔·科布 耶稣·加洛 亚当·兰伯特 豪尔赫·莱昂·马丁内斯 杰森· 莱恩斯 伊斯雷尔·鲁兹","布莱恩·辛格"
"6538697","劫匪 The Highwaymen","7","2019-03-29(美国)","剧情 悬疑 惊悚 犯罪","凯文·科斯特纳 伍迪·哈里森 凯西·贝茨 金·迪肯斯 约翰·卡洛·林奇 W·厄尔·布朗 托马斯·曼 大卫·福尔 杰西·C·博伊德 简·麦克尼尔 比利·斯洛特 大卫·德怀尔 杰森·戴维斯 乔希·卡拉斯 布莱恩·杜尔金 迪恩·J·韦斯特 大卫·博恩 迈克尔·德雷珀 杰夫·波普 托尼亚·马尔多纳多 库伦·莫斯 乔希·文图拉 迪安·丹顿 乔·奈泽维奇","约翰·李·汉考克"
"6538807","冰海陷落 Hunter Killer","7","2019-05(中国大陆) 2018-10-26(美国)","动作 战争","杰拉德·巴特勒 托比·斯蒂芬斯 加里·奥德曼 科曼 琳达·卡德里尼 米哈伊尔·戈尔沃伊 迈克尔·吉普森 邓普希·博弗尔 克里·约翰逊 亚当·詹姆斯 亨利·古德曼 科林·斯廷顿 卡特·麦金太尔 施恩·泰勒 米基·柯林斯 威尔·阿滕伯勒 大卫·吉雅西 吴国耀 泰勒·约翰·史密斯 加布里埃尔·查瓦里亚 柯斯莫·贾维斯 迈克尔·特鲁科 雷恩·麦帕林 赞恩·霍尔茨 尤里·科洛科利尼科夫 伊戈尔·日日金 伊利亚·沃里克 Hristo Mitzkov 迈克尔·恩奎斯特 卡罗琳·古多尔 大卫·叶兰德 斯图尔特·米里根 李·阿斯奎斯-柯 西奥·巴克利姆比格斯 内森·库珀 迪诺·法赞尼 所罗门·塔伊沃·贾斯提费尔德 马里安·洛伦西克 贾森·马修森 伯纳多·桑托斯 阿塔纳斯·斯雷布雷夫","多诺万·玛什"
"11639146","玛丽女王 Mary Queen of Scots","6","2018-12-07(美国) 2019-01-18(英国)","剧情 传记 历史","西尔莎·罗南 玛格特·罗比 杰克·劳登 乔·阿尔文 大卫·田纳特 盖·皮尔斯 嘉玛·陈 布兰登·柯伊尔 马丁·康普斯顿 伊斯梅尔·克鲁斯·科尔多瓦 爱琳·奥伊金斯 玛丽亚·德拉格斯 伊恩·哈拉德 詹姆斯·麦卡德尔 艾德里安·莱斯特","乔西·洛克"
"19899707","驯龙高手3 How To Train Your Dragon: The Hidden World","7","2019-03-01(中国大陆) 2019-01-03(澳大利亚) 2019-02-22(美国)","动画 奇幻 冒险","杰伊·巴鲁切尔 亚美莉卡·费雷拉 F·默里·亚伯拉罕 凯特·布兰切特 杰拉德·巴特勒 克雷格·费格森 乔纳·希尔 克里斯托夫·梅兹-普莱瑟 克里斯汀·韦格 基特·哈灵顿 罗宾·阿特金·唐斯 基隆·埃利奥特 吉迪恩·埃默里 阿什利·詹森 奥拉维尔·达里·奥拉夫松 詹姆士·谢 大卫·田纳特","迪恩·德布洛斯"
